2025-08-06 09:42:17 - bible - INFO - 开始生成配置文件
2025-08-06 09:42:17 - bible - INFO - 开始获取圣经书名列表
2025-08-06 09:42:17 - bible - INFO - 圣经书名列表获取完成
2025-08-06 09:42:17 - bible - INFO - 配置文件生成完成
2025-08-06 09:46:51 - bible - INFO - 开始生成配置文件
2025-08-06 09:46:51 - bible - INFO - 开始获取圣经书名列表
2025-08-06 09:46:51 - bible - INFO - 圣经书名列表获取完成
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_2
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_3
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_4
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_5
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_6
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_7
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_8
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_9
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_10
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_11
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_12
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_13
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_14
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_15
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_16
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_17
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_18
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_19
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_20
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_21
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_22
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_23
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_24
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_25
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_26
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_27
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_28
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_29
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_30
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_31
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_32
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_33
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_34
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_35
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_36
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_37
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_38
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_39
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_40
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_41
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_42
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_43
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_44
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_45
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_46
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_47
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_48
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_49
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_50
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_51
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_52
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_53
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_54
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_55
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_56
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_57
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_58
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_59
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_60
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_61
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_62
